stfips,ctyfips,stname,ctyname,scfips,povprop_2018,oldprop_2018,povprop_2019,oldprop_2019,povprop_2020,oldprop_2020,povprop_2021,oldprop_2021
1,1,Alabama,Autauga County,1001,15.4,8.7,15.2,8.7,15.2,7.3,13.6,6.9
1,3,Alabama,Baldwin County,1003,10.6,8.0,10.4,7.4,9.2,7.6,9.2,7.0
1,5,Alabama,Barbour County,1005,28.9,16.2,30.7,16.8,28.6,17.4,26.5,14.4
1,7,Alabama,Bibb County,1007,14.0,8.1,18.1,6.9,18.1,6.7,16.9,4.5
1,9,Alabama,Blount County,1009,14.4,10.1,13.6,10.9,13.7,14.3,13.2,14.2
1,11,Alabama,Bullock County,1011,31.4,20.8,28.9,15.9,29.5,16.4,30.9,23.3
1,13,Alabama,Butler County,1013,23.5,13.1,22.5,12.3,19.6,10.2,18.2,9.4
1,15,Alabama,Calhoun County,1015,18.6,10.5,17.9,9.7,15.8,9.5,17.5,11.2
1,17,Alabama,Chambers County,1017,16.6,10.9,17.3,11.4,15.4,10.6,15.1,9.6
1,19,Alabama,Cherokee County,1019,15.0,11.8,13.9,10.9,12.9,9.5,15.0,9.7
1,21,Alabama,Chilton County,1021,18.6,12.5,19.1,11.6,17.0,11.4,15.7,10.7
1,23,Alabama,Choctaw County,1023,22.2,10.7,23.3,9.8,19.7,9.5,21.6,12.0
1,25,Alabama,Clarke County,1025,25.4,15.9,23.2,17.8,25.0,16.2,21.9,14.6
1,27,Alabama,Clay County,1027,18.4,15.2,17.9,16.2,15.5,17.2,16.9,18.8
1,29,Alabama,Cleburne County,1029,18.5,12.5,17.3,12.0,15.6,18.2,14.2,12.9
1,31,Alabama,Coffee County,1031,15.1,8.9,15.1,8.3,15.4,10.2,15.9,10.8
1,33,Alabama,Colbert County,1033,16.3,10.9,15.5,10.4,15.5,10.2,15.1,9.2
1,35,Alabama,Conecuh County,1035,22.2,16.0,17.6,13.8,16.6,8.2,13.0,6.3
1,37,Alabama,Coosa County,1037,14.0,11.6,13.5,9.7,12.5,10.0,11.1,9.5
1,39,Alabama,Covington County,1039,18.3,11.4,18.6,12.2,17.7,14.9,18.0,16.1
1,41,Alabama,Crenshaw County,1041,15.7,11.7,15.2,11.4,14.6,8.7,13.1,8.8
1,43,Alabama,Cullman County,1043,15.8,10.1,14.9,9.7,12.7,8.3,12.2,10.0
1,45,Alabama,Dale County,1045,18.4,10.5,17.6,8.5,18.4,8.8,16.7,9.1
1,47,Alabama,Dallas County,1047,31.1,17.3,29.1,16.7,29.2,19.5,24.3,17.7
1,49,Alabama,DeKalb County,1049,22.1,12.0,21.1,11.9,20.7,11.1,20.6,11.6
1,51,Alabama,Elmore County,1051,12.3,6.7,11.5,6.3,10.6,5.7,10.3,6.0
1,53,Alabama,Escambia County,1053,24.0,12.9,22.2,10.3,23.8,13.1,23.5,14.3
1,55,Alabama,Etowah County,1055,17.3,8.2,17.4,10.7,16.0,9.7,16.0,10.7
1,57,Alabama,Fayette County,1057,20.0,11.4,19.4,11.0,20.8,11.4,21.3,14.4
1,59,Alabama,Franklin County,1059,20.2,13.5,19.4,13.1,19.7,12.3,18.1,11.7
1,61,Alabama,Geneva County,1061,24.0,10.2,22.0,9.8,21.8,8.7,23.5,8.7
1,63,Alabama,Greene County,1063,38.7,27.1,38.1,27.0,36.4,19.5,39.8,24.4
1,65,Alabama,Hale County,1065,26.0,19.9,24.2,17.8,24.6,23.1,24.9,22.3
1,67,Alabama,Henry County,1067,13.5,12.6,13.8,13.8,15.2,15.7,14.4,12.0
1,69,Alabama,Houston County,1069,18.3,9.9,18.2,10.0,17.6,9.7,17.7,10.6
1,71,Alabama,Jackson County,1071,20.2,12.3,18.6,11.1,17.9,10.1,17.6,9.0
1,73,Alabama,Jefferson County,1073,17.0,10.2,16.0,10.4,15.7,11.0,15.9,11.0
1,75,Alabama,Lamar County,1075,21.2,10.6,20.6,9.2,17.7,12.6,16.3,13.6
1,77,Alabama,Lauderdale County,1077,15.2,8.7,14.6,8.7,13.0,9.0,13.3,7.8
1,79,Alabama,Lawrence County,1079,16.8,10.1,18.0,10.4,16.8,9.3,15.4,8.9
1,81,Alabama,Lee County,1081,21.4,9.7,19.6,9.7,19.4,9.4,19.9,10.7
1,83,Alabama,Limestone County,1083,13.7,10.1,13.6,10.2,12.7,12.0,11.5,13.0
1,85,Alabama,Lowndes County,1085,27.9,18.0,26.8,24.3,22.4,21.1,21.5,20.4
1,87,Alabama,Macon County,1087,25.8,13.7,24.4,13.6,23.4,10.5,22.2,11.7
1,89,Alabama,Madison County,1089,13.2,8.1,12.5,7.0,11.4,7.3,10.9,7.8
1,91,Alabama,Marengo County,1091,21.8,18.8,21.9,19.4,21.6,17.7,22.3,21.7
1,93,Alabama,Marion County,1093,17.5,11.9,17.5,11.5,17.3,11.5,17.5,13.8
1,95,Alabama,Marshall County,1095,21.7,9.5,20.3,9.2,19.1,9.0,17.7,9.6
1,97,Alabama,Mobile County,1097,19.3,10.1,18.8,9.9,17.9,9.6,17.6,9.8
1,99,Alabama,Monroe County,1099,30.9,14.6,27.9,15.5,24.0,14.1,22.2,12.0
1,101,Alabama,Montgomery County,1101,20.7,11.0,19.4,10.7,18.8,11.8,19.6,13.1
1,103,Alabama,Morgan County,1103,15.3,10.2,14.6,10.5,14.9,10.9,14.6,11.6
1,105,Alabama,Perry County,1105,41.8,20.4,30.8,14.7,36.1,12.3,35.7,11.7
1,107,Alabama,Pickens County,1107,23.5,17.1,22.7,13.8,24.7,14.0,22.7,14.2
1,109,Alabama,Pike County,1109,26.6,12.3,24.4,11.7,23.0,9.3,23.8,10.5
1,111,Alabama,Randolph County,1111,17.7,11.5,16.9,12.9,18.8,12.1,18.2,13.7
1,113,Alabama,Russell County,1113,20.1,14.7,20.7,16.7,21.8,18.5,21.9,17.7
1,115,Alabama,St. Clair County,1115,13.2,10.9,12.2,9.7,11.4,8.8,12.1,10.5
1,117,Alabama,Shelby County,1117,8.4,6.2,7.5,6.1,6.9,6.3,7.0,6.2
1,119,Alabama,Sumter County,1119,31.3,30.0,31.8,26.2,30.8,20.2,31.6,20.3
1,121,Alabama,Talladega County,1121,19.9,11.7,19.1,13.0,17.8,11.1,18.6,11.8
1,123,Alabama,Tallapoosa County,1123,20.3,9.2,18.9,8.5,16.5,9.1,16.8,10.0
1,125,Alabama,Tuscaloosa County,1125,17.4,7.6,17.7,8.4,17.2,9.8,15.8,9.8
1,127,Alabama,Walker County,1127,19.7,10.5,18.1,9.0,16.9,9.2,16.9,10.4
