stfips,ctyfips,stname,ctyname,scfips,uninsured_percent2018,uninsured_percent2019,uninsured_percent2020,uninsured_percent2021
1,1,Alabama,Autauga County,1001,7.14,7.07,7.96,7.89
1,3,Alabama,Baldwin County,1003,10.16,8.88,9.51,9.73
1,5,Alabama,Barbour County,1005,11.18,11.32,10.68,10.37
1,7,Alabama,Bibb County,1007,7.91,10.67,9.05,9.98
1,9,Alabama,Blount County,1009,11.03,10.76,10.03,10.02
1,11,Alabama,Bullock County,1011,10.78,11.37,10.47,10.13
1,13,Alabama,Butler County,1013,10.16,8.67,10.14,11.39
1,15,Alabama,Calhoun County,1015,9.41,9.51,9.99,11.16
1,17,Alabama,Chambers County,1017,10.81,10.31,9.22,10.48
1,19,Alabama,Cherokee County,1019,8.34,8.65,9.54,9.79
1,21,Alabama,Chilton County,1021,14.16,12.99,11.74,12.38
1,23,Alabama,Choctaw County,1023,11.44,10.34,10.08,11.14
1,25,Alabama,Clarke County,1025,10.76,9.67,9.65,10.85
1,27,Alabama,Clay County,1027,10.21,10.34,8.49,8.26
1,29,Alabama,Cleburne County,1029,12.78,12.27,12.15,10.97
1,31,Alabama,Coffee County,1031,10.09,9.76,10.55,10.55
1,33,Alabama,Colbert County,1033,8.06,7.21,6.83,6.62
1,35,Alabama,Conecuh County,1035,14.47,12.68,10.37,8.25
1,37,Alabama,Coosa County,1037,7.76,7.98,6.94,6.56
1,39,Alabama,Covington County,1039,11.19,11.1,10.74,11.15
1,41,Alabama,Crenshaw County,1041,9.96,8.71,8.09,7.34
1,43,Alabama,Cullman County,1043,11.83,11.09,11.6,10.88
1,45,Alabama,Dale County,1045,11.36,11.6,10.81,10.16
1,47,Alabama,Dallas County,1047,11.99,11.1,10.21,9.91
1,49,Alabama,DeKalb County,1049,14.52,13.67,13.71,15.11
1,51,Alabama,Elmore County,1051,8.16,7.42,7.32,8.6
1,53,Alabama,Escambia County,1053,15.47,14.21,11.81,12.24
1,55,Alabama,Etowah County,1055,10.44,10.57,11.47,12.19
