FIPS,GEO_ID,NAME,S2501_C01_001E,S2501_C01_001M,stname,ctyname,stfips,ctyfips,Drinking_Water_Violations,Drinking_Water_Violations_Z-Score,PS-GWPop_x,PS-SWPop_x,PS-TOPop_x,PS-WGWTo,PS-WFrTo,PS-Wtotl_x,DO-SSPop_x,DO-WFrTo_x,DO-PSDel_x,DO-PSPCp_x,DO-WDelv _x
16001,0500000US16001,Ada County,184160,2215,Idaho,Ada County,16,1,Yes,0.855653468,--,--,392.433,59.17,72.71,72.71,41.778,7.06,63.5,162,70.56
8001,0500000US08001,Adams County,171977,1803,Colorado,Adams County,8,1,Yes,1.844285468,19.87,459.14,479.01,12.44,78.89,78.89,12.327,0.94,36.53,76,37.47
17001,0500000US17001,Adams County,26993,1143,Illinois,Adams County,17,1,Yes,0.578727374,22.945,40.78,63.725,2.35,10.35,10.35,3.288,0.26,5.1,80,5.36
42001,0500000US42001,Adams County,38703,1303,Pennsylvania,Adams County,42,1,Yes,1.438891929,27.041,20.971,48.012,1.91,12.39,12.39,54.283,3.26,2.5,52,5.76
45003,0500000US45003,Aiken County,67889,2252,South Carolina,Aiken County,45,3,No,-0.453816766,80.549,47.535,128.084,14.15,32.01,32.01,37.745,3.77,12.81,100,16.58
12001,0500000US12001,Alachua County,103024,2847,Florida,Alachua County,12,1,No,-0.765737517,207.64,0,207.64,23.37,23.37,23.37,52.324,4.12,12.74,61,16.86
37001,0500000US37001,Alamance County,64316,1763,North Carolina,Alamance County,37,1,No,-0.666920242,3.279,105.08,108.359,0.18,15.35,15.35,49.917,3.49,7.59,70,11.08
6001,0500000US06001,Alameda County,585632,3709,California,Alameda County,6,1,No,-1.138965047,--,--,1629.9,23.02,163.35,168.74,8.315,0.49,98.37,60,98.86
36001,0500000US36001,Albany County,128284,2411,New York,Albany County,36,1,Yes,0.991902701,40.08,227.658,267.738,6.04,45.78,45.78,41.643,3.12,20.08,75,23.2
51003,0500000US51003,Albemarle County,43754,1134,Virginia,Albemarle County,51,3,No,-0.578333794,0,70.928,70.928,0.06,13.29,13.29,34.775,2.78,5.67,80,8.45
51510,0500000US51510,Alexandria city,71005,1523,Virginia,Alexandria city,51,510,,0,0,146.97,146.97,0.02,0.02,0.02,6.541,0.52,11.76,80,12.28
26005,0500000US26005,Allegan County,43667,1438,Michigan,Allegan County,26,5,Yes,1.655089399,--,--,33.117,4.03,4.03,4.03,81.508,5.87,2,60,7.87
24001,0500000US24001,Allegany County,26549,1492,Maryland,Allegany County,24,1,Yes,0.991902701,2.873,60.057,62.93,0.26,0.67,0.67,9.598,0.77,5.26,84,6.03
42003,0500000US42003,Allegheny County,553858,4070,Pennsylvania,Allegheny County,42,3,Yes,0.578727374,91.855,980.108,1071.963,8.82,178.17,178.17,158.496,9.51,63.65,59,73.16
18003,0500000US18003,Allen County,146280,2066,Indiana,Allen County,18,3,Yes,0.548943791,--,--,312.446,0.85,35.7,35.7,56.004,4.26,23.75,76,28.01
39003,0500000US39003,Allen County,40460,1224,Ohio,Allen County,39,3,No,-0.421350486,3.684,80.838,84.522,0.29,18.17,18.17,19.903,1.49,5.45,64,6.94
2020,0500000US02020,Anchorage Municipality,105198,2489,Alaska,Anchorage Municipality,2,20,Yes,0.8,--,--,261.666,12.46,44.49,44.49,37.029,2.26,31.92,122,34.18
45007,0500000US45007,Anderson County,75825,2343,South Carolina,Anderson County,45,7,No,-0.690991415,0.4,152.63,153.03,0.05,19,19,41.662,4.17,15.3,100,19.47
47001,0500000US47001,Anderson County,30175,1340,Tennessee,Anderson County,47,1,No,-0.497361459,2.193,68.756,70.949,0.21,10.69,10.69,4.8,0.35,5.75,81,6.1
23001,0500000US23001,Androscoggin County,45924,1374,Maine,Androscoggin County,23,1,Yes,0.65279121,10.962,41.696,52.658,0.8,7.92,7.92,54.575,3.46,3.45,66,6.91
48005,0500000US48005,Angelina County,32293,1229,Texas,Angelina County,48,5,Yes,0.860123623,--,--,87.92,11.14,11.3,11.3,0.335,0.03,5.45,62,5.48
24003,0500000US24003,Anne Arundel County,216200,2680,Maryland,Anne Arundel County,24,3,No,-0.692218655,391.415,5.866,397.281,39.49,39.49,39.49,166.914,13.35,30.09,76,43.44
27003,0500000US27003,Anoka County,131858,1128,Minnesota,Anoka County,27,3,Yes,2.372104312,240.97,20.45,261.42,25.97,108.23,108.23,82.731,5.9,16.2,62,22.1
4001,0500000US04001,Apache County,20925,946,Arizona,Apache County,4,1,Yes,0.483045892,48.854,0,48.854,5.77,5.77,5.77,22.62,1.99,5.08,104,7.07
8005,0500000US08005,Arapahoe County,246302,1972,Colorado,Arapahoe County,8,5,No,-1.09629004,4.24,621.28,625.52,8.26,141.39,141.39,5.576,1.26,141.38,226,142.64
51013,0500000US51013,Arlington County,111887,1847,Virginia,Arlington County,51,13,No,-0.578333794,0,229.164,229.164,0,0,0,0,0,18.33,80,18.33
42005,0500000US42005,Armstrong County,29095,869,Pennsylvania,Armstrong County,42,5,Yes,0.578727374,15.915,28.843,44.758,1.65,6.65,6.65,22.294,1.34,2.15,48,3.49
23003,0500000US23003,Aroostook County,30197,1212,Maine,Aroostook County,23,3,Yes,0.65279121,27.55,4.15,31.7,3.37,4.11,4.11,36.928,1.31,1.16,37,2.47
