FIPS,stname,ctyname,stfips,ctyfips,Drinking_Water_Violations,Drinking_Water_Violations_Z-Score,PS-GWPop_x,PS-SWPop_x,PS-TOPop_x,PS-WGWTo,PS-WFrTo,PS-Wtotl_x,DO-SSPop_x,DO-WFrTo_x,DO-PSDel_x,DO-PSPCp_x,DO-WDelv _x
45001,South Carolina,Abbeville County,45,1,No,-0.453816766,0.124,13.19,13.314,0.02,1.97,1.97,11.618,1.16,1.33,100,2.49
22001,Louisiana,Acadia Parish,22,1,Yes,0.548943791,47.029,0,47.029,5.62,5.62,5.62,15.548,1.24,4.46,95,5.7
51001,Virginia,Accomack County,51,1,No,-0.578333794,11.394,0,11.394,0.88,0.88,0.88,21.579,1.73,0.91,80,2.64
16001,Idaho,Ada County,16,1,Yes,0.855653468,--,--,392.433,59.17,72.71,72.71,41.778,7.06,63.5,162,70.56
19001,Iowa,Adair County,19,1,Yes,0.528822919,--,--,4.431,0.67,0.67,0.67,2.797,0.18,0.29,65,0.47
21001,Kentucky,Adair County,21,1,No,-0.690991415,--,--,17.6,0,0,0,1.427,0.07,1.23,70,1.3
29001,Missouri,Adair County,29,1,No,-0.38682799,0,25.378,25.378,0,2.5,2.5,0,0,2.16,85,2.16
40001,Oklahoma,Adair County,40,1,No,0,1.623,11.87,13.493,0.01,6.91,6.91,8.511,0.06,1.04,77,1.1
8001,Colorado,Adams County,8,1,Yes,1.844285468,19.87,459.14,479.01,12.44,78.89,78.89,12.327,0.94,36.53,76,37.47
16003,Idaho,Adams County,16,3,No,-0.715096942,--,--,2.241,0.53,0.53,0.53,1.602,0.34,0.48,214,0.82
17001,Illinois,Adams County,17,1,Yes,0.578727374,22.945,40.78,63.725,2.35,10.35,10.35,3.288,0.26,5.1,80,5.36
18001,Indiana,Adams County,18,1,No,-0.421350486,--,--,20.079,2.31,2.31,2.31,14.901,1.13,1.53,76,2.66
19003,Iowa,Adams County,19,3,No,-0.38682799,--,--,3.562,0,1,1,0.234,0.01,0.23,65,0.24
28001,Mississippi,Adams County,28,1,No,-0.965819759,30.168,0,30.168,4.92,4.92,4.92,1.086,0.11,3.02,100,3.13
31001,Nebraska,Adams County,31,1,No,-1.140871291,--,--,27.61,6.5,6.5,6.5,3.977,0.44,2.52,91,2.96
38001,North Dakota,Adams County,38,1,No,-1.122913685,--,--,2.091,0,0,0,0.268,0.02,0.17,81,0.19
39001,Ohio,Adams County,39,1,Yes,0.896964578,27.184,0,27.184,2.05,2.05,2.05,0.84,0.06,1.57,58,1.63
42001,Pennsylvania,Adams County,42,1,Yes,1.438891929,27.041,20.971,48.012,1.91,12.39,12.39,54.283,3.26,2.5,52,5.76
53001,Washington,Adams County,53,1,No,-0.370398599,--,--,13.926,5.58,5.58,5.58,5.328,0.6,1.57,113,2.17
55001,Wisconsin,Adams County,55,1,No,-0.33742642,7.008,0,7.008,0.81,0.81,0.81,13.14,0.47,0.43,61,0.9
50001,Vermont,Addison County,50,1,No,-1.112697281,9.481,3.846,13.327,1.75,3.45,3.45,23.708,1.07,0.6,45,1.67
45003,South Carolina,Aiken County,45,3,No,-0.453816766,80.549,47.535,128.084,14.15,32.01,32.01,37.745,3.77,12.81,100,16.58
27001,Minnesota,Aitkin County,27,1,No,-0.416721028,3.19,0,3.19,0.27,0.27,0.27,12.512,0.88,0.09,28,0.97
12001,Florida,Alachua County,12,1,No,-0.765737517,207.64,0,207.64,23.37,23.37,23.37,52.324,4.12,12.74,61,16.86
37001,North Carolina,Alamance County,37,1,No,-0.666920242,3.279,105.08,108.359,0.18,15.35,15.35,49.917,3.49,7.59,70,11.08
6001,California,Alameda County,6,1,No,-1.138965047,--,--,1629.9,23.02,163.35,168.74,8.315,0.49,98.37,60,98.86
8003,Colorado,Alamosa County,8,3,Yes,0.896964578,9.84,0,9.84,2.09,2.09,2.09,6.656,0.84,1.25,127,2.09
36001,New York,Albany County,36,1,Yes,0.991902701,40.08,227.658,267.738,6.04,45.78,45.78,41.643,3.12,20.08,75,23.2
56001,Wyoming,Albany County,56,1,No,-0.857779665,15.692,15.521,31.213,3.29,6.45,6.45,6.743,0.51,4.89,157,5.4
51003,Virginia,Albemarle County,51,3,No,-0.578333794,0,70.928,70.928,0.06,13.29,13.29,34.775,2.78,5.67,80,8.45
26001,Michigan,Alcona County,26,1,No,-0.596917488,--,--,0.601,0.06,0.06,0.06,9.748,0.7,0.04,67,0.74
28003,Mississippi,Alcorn County,28,3,No,-0.370398599,14.067,15.2,29.267,2.6,4.75,4.75,8.121,0.81,2.93,100,3.74
2013,Alaska,Aleutians East Borough,2,13,Yes,,--,--,2.289,0.01,1.22,1.22,1.052,0.05,0.16,70,0.21
2016,Alaska,Aleutians West Census Area,2,16,Yes,0.8,--,--,5.47,0.05,2.27,2.27,0.232,0.02,0.42,77,0.44
17003,Illinois,Alexander County,17,3,No,-0.666920242,3.65,2.467,6.117,0.96,1.61,1.61,0.663,0.05,0.49,80,0.54
37003,North Carolina,Alexander County,37,3,No,-0.688165705,0.348,23.68,24.028,0.03,0.03,0.03,13.297,0.93,1.68,70,2.61
51510,Virginia,Alexandria city,51,510,,0,0,146.97,146.97,0.02,0.02,0.02,6.541,0.52,11.76,80,12.28
40003,Oklahoma,Alfalfa County,40,3,Yes,0.528822919,4.926,0,4.926,0.7,0.7,0.7,0.942,0.08,0.35,71,0.43
26003,Michigan,Alger County,26,3,No,-0.596917488,--,--,4.399,0.41,0.41,0.41,4.984,0.36,0.27,61,0.63
19005,Iowa,Allamakee County,19,5,No,-0.38682799,--,--,7.454,0.91,0.91,0.91,6.432,0.41,0.48,64,0.89
26005,Michigan,Allegan County,26,5,Yes,1.655089399,--,--,33.117,4.03,4.03,4.03,81.508,5.87,2,60,7.87
24001,Maryland,Allegany County,24,1,Yes,0.991902701,2.873,60.057,62.93,0.26,0.67,0.67,9.598,0.77,5.26,84,6.03
36003,New York,Allegany County,36,3,No,-0.692218655,18.293,9.559,27.852,2.17,3.12,3.12,19.61,1.47,2.09,75,3.56
37005,North Carolina,Alleghany County,37,5,Yes,1.484435377,2.004,1.067,3.071,0.31,0.31,0.31,7.766,0.54,0.21,68,0.75
51005,Virginia,Alleghany County,51,5,No,-0.578333794,0.092,12.489,12.581,0,0.91,0.91,3.096,0.25,1.01,80,1.26
42003,Pennsylvania,Allegheny County,42,3,Yes,0.578727374,91.855,980.108,1071.963,8.82,178.17,178.17,158.496,9.51,63.65,59,73.16
18003,Indiana,Allen County,18,3,Yes,0.548943791,--,--,312.446,0.85,35.7,35.7,56.004,4.26,23.75,76,28.01
20001,Kansas,Allen County,20,1,No,-0.715096942,--,--,12.717,0,1.78,1.78,0,0,0.56,44,0.56
21003,Kentucky,Allen County,21,3,No,-0.690991415,--,--,16.884,0,0.95,0.95,3.756,0.19,1.18,70,1.37
39003,Ohio,Allen County,39,3,No,-0.421350486,3.684,80.838,84.522,0.29,18.17,18.17,19.903,1.49,5.45,64,6.94
22003,Louisiana,Allen Parish,22,3,No,-0.78675942,22.502,0,22.502,4.24,4.24,4.24,3.181,0.25,3.37,150,3.62
45005,South Carolina,Allendale County,45,5,No,-0.453816766,7.025,0,7.025,1.19,1.19,1.19,2.408,0.24,0.7,100,0.94
26007,Michigan,Alpena County,26,7,No,-0.596917488,--,--,15.795,0,2.02,2.02,13.008,0.94,0.87,55,1.81
6003,California,Alpine County,6,3,No,-1.138965047,--,--,0.705,0.03,0.1,0.1,0.405,0.04,0.06,85,0.1
6005,California,Amador County,6,5,No,-1.138965047,--,--,27.92,1.2,8.64,8.64,9.081,0.97,2.99,107,3.96
51007,Virginia,Amelia County,51,7,No,-0.578333794,3.1,0,3.1,0.1,0.1,0.1,9.803,0.78,0.25,81,1.03
51009,Virginia,Amherst County,51,9,Yes,1.710904142,0.168,18.617,18.785,0,12.03,12.03,13.129,1.05,1.5,80,2.55
28005,Mississippi,Amite County,28,5,No,-0.370398599,7.298,0,7.298,1.34,1.34,1.34,5.276,0.53,0.73,100,1.26
20003,Kansas,Anderson County,20,3,Yes,0.860123623,--,--,7.647,0,0.6,0.6,0.161,0.01,0.33,43,0.34
21005,Kentucky,Anderson County,21,5,No,-0.453816766,--,--,17.473,0,2.21,2.21,4.506,0.23,1.22,70,1.45
45007,South Carolina,Anderson County,45,7,No,-0.690991415,0.4,152.63,153.03,0.05,19,19,41.662,4.17,15.3,100,19.47
47001,Tennessee,Anderson County,47,1,No,-0.497361459,2.193,68.756,70.949,0.21,10.69,10.69,4.8,0.35,5.75,81,6.1
48001,Texas,Anderson County,48,1,No,-0.78675942,--,--,44.369,6.28,9.06,9.06,13.211,1.37,2.75,62,4.12
29003,Missouri,Andrew County,29,3,No,0,17.07,0,17.07,18.06,18.06,18.06,0.226,0.02,1.54,90,1.56
48003,Texas,Andrews County,48,3,Yes,0.860123623,--,--,13.126,2.36,2.36,2.36,4.979,0.52,1.38,105,1.9
23001,Maine,Androscoggin County,23,1,Yes,0.65279121,10.962,41.696,52.658,0.8,7.92,7.92,54.575,3.46,3.45,66,6.91
48005,Texas,Angelina County,48,5,Yes,0.860123623,--,--,87.92,11.14,11.3,11.3,0.335,0.03,5.45,62,5.48
24003,Maryland,Anne Arundel County,24,3,No,-0.692218655,391.415,5.866,397.281,39.49,39.49,39.49,166.914,13.35,30.09,76,43.44
27003,Minnesota,Anoka County,27,3,Yes,2.372104312,240.97,20.45,261.42,25.97,108.23,108.23,82.731,5.9,16.2,62,22.1
37007,North Carolina,Anson County,37,7,Yes,1.484435377,0,17.141,17.141,0,8.8,8.8,8.618,0.6,1.2,70,1.8
31003,Nebraska,Antelope County,31,3,Yes,1.844285468,--,--,3.5,0.67,0.67,0.67,2.914,0.32,0.37,106,0.69
26009,Michigan,Antrim County,26,9,No,-0.596917488,--,--,9.194,1.19,1.19,1.19,13.96,1,0.59,64,1.59
4001,Arizona,Apache County,4,1,Yes,0.483045892,48.854,0,48.854,5.77,5.77,5.77,22.62,1.99,5.08,104,7.07
19007,Iowa,Appanoose County,19,7,No,-0.38682799,--,--,7.925,0,6.65,6.65,4.604,0.3,0.52,66,0.82
13001,Georgia,Appling County,13,1,No,-0.470822603,6.135,0,6.135,0.76,0.76,0.76,12.319,0.92,0.53,86,1.45
51011,Virginia,Appomattox County,51,11,No,-0.578333794,0.236,1.761,1.997,0,0,0,13.417,1.07,0.16,80,1.23
48007,Texas,Aransas County,48,7,Yes,0.860123623,--,--,24.389,0.21,0.17,0.21,0.961,0.1,1.71,70,1.81
8005,Colorado,Arapahoe County,8,5,No,-1.09629004,4.24,621.28,625.52,8.26,141.39,141.39,5.576,1.26,141.38,226,142.64
48009,Texas,Archer County,48,9,No,-1.157858723,--,--,8.2,0,4.59,4.59,0.515,0.05,0.55,67,0.6
8007,Colorado,Archuleta County,8,7,Yes,0.896964578,1.98,6.61,8.59,0.04,1.51,1.51,3.762,1.07,2.44,284,3.51
26011,Michigan,Arenac County,26,11,No,-0.596917488,--,--,8.545,0.01,42.16,42.16,6.716,0.48,0.5,59,0.98
5001,Arkansas,Arkansas County,5,1,No,-1.090781335,18.43,0,18.43,1.18,1.18,1.18,0.003,0,1.64,89,1.64
51013,Virginia,Arlington County,51,13,No,-0.578333794,0,229.164,229.164,0,0,0,0,0,18.33,80,18.33
42005,Pennsylvania,Armstrong County,42,5,Yes,0.578727374,15.915,28.843,44.758,1.65,6.65,6.65,22.294,1.34,2.15,48,3.49
48011,Texas,Armstrong County,48,11,No,-1.157858723,--,--,1.475,0.23,0.23,0.23,0.472,0.05,0.13,88,0.18
